Alabama ,AL,4599.03
Alaska ,AK,670.053
Arizona ,AZ,6166.318
Arkansas ,AR,2810.872
California ,CA,36457.549
Colorado ,CO,4753.377
Connecticut ,CT,3504.809
Delaware ,DE,853.476
District of Columbia ,DC,581.53
Florida ,FL,18089.888
Georgia ,GA,9363.941
Hawaii ,HI,1285.498
Idaho ,ID,1466.465
Illinois ,IL,12831.97
Indiana ,IN,6313.52
Iowa ,IA,2982.085
Kansas ,KS,2764.075
Kentucky ,KY,4206.074
Louisiana ,LA,4287.768
Maine ,ME,1321.574
Maryland ,MD,5615.727
Massachusetts ,MA,6437.193
Michigan ,MI,10095.643
Minnesota ,MN,5167.101
Mississippi ,MS,2910.54
Missouri ,MO,5842.713
Montana ,MT,944.632
Nebraska ,NE,1768.331
Nevada ,NV,2495.529
New Hampshire ,NH,1314.895
New Jersey ,NJ,8724.56
New Mexico ,NM,1954.599
New York ,NY,19306.183
North Carolina ,NC,8856.505
North Dakota ,ND,635.867
Ohio ,OH,11478.006
Oklahoma ,OK,3579.212
Oregon ,OR,3700.758
Pennsylvania ,PA,12440.621
Rhode Island ,RI,1067.61
South Carolina ,SC,4321.249
South Dakota ,SD,781.919
Tennessee ,TN,6038.803
Texas ,TX,23507.783
Utah ,UT,2550.063
Vermont ,VT,623.908
Virginia ,VA,7642.884
Washington ,WA,6395.798
West Virginia ,WV,1818.47
Wisconsin ,WI,5556.506
Wyoming ,WY,515.004
